Abkürzung;Stadt/Landkreis;abgeleitet von;Bundesland
FÜ;Stadt Fürth (AA–ZZ 100–999)*;FÜrth;Bayern
FÜS;Landkreis Ostallgäu;FÜSsen;Bayern
FW;Landkreis Oder-Spree;FürstenWalde;Brandenburg
FZ;Schwalm-Eder-Kreis;FritZlar;Hessen
G;Stadt Gera;Gera;Thüringen
GA;Altmarkkreis Salzwedel;GArdelegen;Sachsen-Anhalt
GAN;Landkreis Northeim;GANdersheim;Niedersachsen
GAP;Landkreis Garmisch-Partenkirchen;GArmisch-Partenkirchen;Bayern
GC;Landkreis Zwickau;GlauChau;Sachsen
GD;Ostalbkreis;GmünD;Baden-Württemberg
GDB;Landkreis Nordwestmecklenburg;GaDeBusch;Mecklenburg-Vorpommern
GE;Stadt Gelsenkirchen;GElsenkirchen;Nordrhein-Westfalen
GEL;Kreis Kleve;GELdern;Nordrhein-Westfalen
GEO;Landkreis Haßberge (A und B 1000–9999);GErOlzhofen;Bayern
GER;Landkreis Germersheim;GERmersheim;Rheinland-Pfalz
GF;Landkreis Gifhorn;GiFhorn;Niedersachsen
GG;Kreis Groß-Gerau;Groß-Gerau;Hessen
GHA;Landkreis Leipzig;GeitHAin;Sachsen
GHC;Landkreis Wittenberg;GräfenHainiChen;Sachsen-Anhalt
GI;Landkreis Gießen;GIeßen;Hessen
GK;Kreis Heinsberg;GeilenKirchen;Nordrhein-Westfalen
GL;Rheinisch-Bergischer Kreis;GLadbach;Nordrhein-Westfalen
GLA;Kreis Recklinghausen;GLAdbeck;Nordrhein-Westfalen
GM;Oberbergischer Kreis;GumMersbach;Nordrhein-Westfalen
GMN;Landkreis Vorpommern-Rügen ohne die Stadt Stralsund;GrimMeN;Mecklenburg-Vorpommern
GN;Main-Kinzig-Kreis ohne die Stadt Hanau;GelnhauseN;Hessen
GNT;Landkreis Jerichower Land;GeNThin;Sachsen-Anhalt
GÖ;"Landkreis Göttingen
Stadt Göttingen (sonst)*
übriger Landkreis (AA–ZZ 100–9999 ohne PD)*";GÖttingen;Niedersachsen
GOA;Rhein-Hunsrück-Kreis;GOAr;Rheinland-Pfalz
GOH;Rhein-Lahn-Kreis;GOarsHausen;Rheinland-Pfalz
GP;Landkreis Göppingen;GöpPingen;Baden-Württemberg
GR;Landkreis Görlitz;GöRlitz;Sachsen
GRA;Landkreis Freyung-Grafenau;GRAfenau;Bayern
GRH;Landkreis Meißen;GRoßenHain;Sachsen
GRI;Landkreis Rottal-Inn (B, I, O und Q 100–999);GRIesbach;Bayern
GRM;Landkreis Leipzig;GRimMa;Sachsen
GRZ;Landkreis Greiz;GReiZ;Thüringen
GS;Landkreis Goslar;GoSlar;Niedersachsen
GT;Kreis Gütersloh;GüTersloh;Nordrhein-Westfalen
GTH;Landkreis Gotha;GoTHa;Thüringen
GÜ;Landkreis Rostock;GÜstrow;Mecklenburg-Vorpommern
GUB;Landkreis Spree-Neiße;GUBen;Brandenburg
GUN;Landkreis Weißenburg-Gunzenhausen;GUNzenhausen;Bayern
GV;Rhein-Kreis Neuss;GreVenbroich;Nordrhein-Westfalen
GVM;Landkreis Nordwestmecklenburg;GreVesMühlen;Mecklenburg-Vorpommern
GW;Landkreis Vorpommern-Greifswald ohne die Stadt Greifswald;GreifsWald;Mecklenburg-Vorpommern
GZ;Landkreis Günzburg;GünZburg;Bayern
H;"Region Hannover
Stadt Hannover (AA–ZZ 100–999, BA–BZ und FA–GZ 1000–9999)*
übrige Region (sonst)*";Hannover;Niedersachsen
HA;Stadt Hagen;HAgen;Nordrhein-Westfalen
HAB;Landkreis Bad Kissingen;HAmmelBurg;Bayern
HAL;Stadt Halle (Saale);HALle;Sachsen-Anhalt
HAM;Stadt Hamm;HAMm;Nordrhein-Westfalen
HAS;Landkreis Haßberge;HASsfurt;Bayern
HB;Stadt Bremen, Senat und Bürgerschaft (sonst);Hansestadt Bremen;Bremen
;Stadt Bremerhaven (A–Z 1000–9999);;
HBN;Landkreis Hildburghausen;HildBurghauseN;Thüringen
HBS;Landkreis Harz;HalBerStadt;Sachsen-Anhalt
HC;Landkreis Mittelsachsen;HainiChen;Sachsen
HCH;Landkreis Freudenstadt (YQ, QY, YV, VY und ZQ 100 bis 999);HeCHingen;Baden-Württemberg
HD;Stadt Heidelberg (sonst)*;HeiDelberg;Baden-Württemberg
HDH;Landkreis Heidenheim;HeiDenHeim;Baden-Württemberg
HDL;Landkreis Börde;HalDensLeben;Sachsen-Anhalt
HE;Landkreis Helmstedt;HElmstedt;Niedersachsen
HEB;Landkreis Nürnberger Land;HErsBruck;Bayern
HEF;Landkreis Hersfeld-Rotenburg;HErsFeld;Hessen
HEI;Kreis Dithmarschen;HEIde;Schleswig-Holstein
HEL;Hessen, Landesregierung und Landtag;HEssischer Landtag;Hessen
HER;Stadt Herne;HERne;Nordrhein-Westfalen
HET;Landkreis Mansfeld-Südharz;HETtstedt;Sachsen-Anhalt
